风电场群总出力_MW,集电线路故障率_次百km年,箱变渗漏油次数_次月,风机基础沉降速率_mm月,场区道路承载力_MPa,电缆沟积水深度_mm,集电系统电压不平衡度_%,升压站设备温升_℃,防雷接地电阻_Ω,风机可利用率_%,CRI综合风险指数,风险等级_二分类
236.84,6.8,0.0,3.69,36.66,16.06,0.2,40.15,3.52,92.4,0.8747,1
86.68,1.64,0.11,0.52,42.34,4.97,0.12,15.0,5.01,90.58,0.5474,1
327.95,0.1,1.02,0.11,54.31,19.43,0.67,40.44,1.9,93.36,0.2506,0
438.82,0.32,1.92,0.1,46.05,7.38,0.92,41.09,3.55,93.82,0.0666,0
67.39,0.51,0.0,0.43,36.15,5.46,0.25,15.0,4.91,91.56,0.5562,1
389.03,1.66,1.0,0.74,41.53,15.66,1.32,70.53,6.59,99.94,0.3958,1
485.83,0.12,3.97,1.91,27.55,6.38,2.71,45.18,5.59,99.6,0.2239,0
406.48,1.9,0.99,0.07,44.35,7.25,0.23,32.76,1.81,91.81,0.1917,0
108.19,2.36,0.96,0.52,25.72,35.39,0.63,45.95,2.0,81.44,0.7759,0
129.13,0.77,2.01,2.16,43.54,35.28,0.34,50.61,5.25,92.85,0.607,1
143.56,1.88,0.0,0.45,41.98,9.02,0.82,26.43,5.49,98.51,0.5592,1
275.51,0.55,0.0,0.32,37.31,19.21,0.46,43.59,2.67,91.0,0.3712,1
435.83,2.95,2.11,0.45,34.53,7.87,1.23,29.3,9.87,93.16,0.2045,0
253.34,0.86,1.95,4.16,36.87,9.91,0.65,63.14,2.74,99.99,0.6239,1
80.57,1.76,0.96,1.09,48.97,3.9,0.28,39.88,3.51,93.75,0.7183,1
408.7,1.01,3.0,0.18,44.49,65.15,1.26,50.34,1.93,87.3,0.188,0
273.61,0.93,1.93,0.32,21.62,20.35,0.03,55.3,0.9,87.44,0.4483,0
81.59,3.23,2.1,0.83,47.34,14.56,1.81,50.37,3.77,93.2,0.7693,0
327.4,0.74,1.02,0.19,29.86,26.8,0.32,55.38,2.23,88.63,0.4009,0
306.34,2.54,0.0,1.92,39.06,4.22,0.44,46.16,1.83,92.34,0.5249,1
262.6,3.68,1.02,1.7,53.46,17.62,0.37,65.48,6.73,86.34,0.6039,1
205.68,0.36,1.9,0.77,32.94,5.24,0.12,37.88,1.37,91.78,0.5109,1
183.58,1.72,3.03,0.69,44.08,17.66,0.66,44.57,10.07,90.91,0.5349,1
147.35,1.99,1.0,0.04,30.85,0.44,0.4,15.0,4.25,91.43,0.5831,0
277.06,4.5,1.0,2.34,32.73,4.74,0.43,77.56,2.15,89.66,0.7021,1
423.01,1.69,2.02,0.72,42.64,65.25,1.71,43.01,13.09,93.4,0.2565,0
93.87,0.1,1.98,0.25,49.07,60.93,1.01,71.93,4.68,97.25,0.5961,1
414.62,0.1,2.04,0.01,27.31,0.11,0.34,50.95,11.21,96.48,0.1818,0
95.17,0.95,1.96,0.43,45.54,25.96,0.52,64.26,2.65,93.02,0.6217,1
259.04,0.93,2.03,1.02,40.51,25.28,0.99,47.4,0.84,96.51,0.4818,0
92.66,1.46,3.02,0.59,44.92,7.95,2.34,66.44,4.68,97.66,0.7798,1
449.26,0.15,1.03,0.18,30.47,7.17,0.86,43.0,3.95,94.86,0.085,1
415.81,7.62,1.08,2.75,49.53,22.5,0.35,47.96,3.59,94.7,0.5391,1
451.73,2.09,1.09,2.71,21.62,20.18,0.9,64.14,0.68,96.62,0.4236,0
150.18,1.17,3.07,1.82,23.4,48.61,0.11,57.34,1.59,97.41,0.632,1
55.65,5.85,1.01,1.11,30.0,2.02,0.29,38.98,5.56,83.74,0.9338,0
212.81,1.44,0.0,0.31,26.51,39.87,0.22,60.49,3.46,88.58,0.5713,1
396.83,2.71,1.96,0.46,34.48,14.08,1.11,36.48,2.27,91.18,0.33,1
450.9,0.33,2.97,1.89,34.85,27.64,0.01,27.92,3.24,93.97,0.107,0
154.98,0.35,1.05,0.72,25.57,15.69,2.01,49.62,7.69,93.32,0.6529,1
364.18,1.43,0.0,0.7,29.32,30.75,1.41,32.52,3.0,98.77,0.2968,0
78.96,0.21,0.05,0.93,18.19,37.09,1.14,51.69,4.02,89.54,0.7227,1
109.77,0.55,0.0,2.25,29.04,43.92,5.0,52.46,7.19,96.78,0.9848,1
129.34,1.0,4.01,0.17,22.11,12.08,0.96,70.71,8.77,91.82,0.7148,1
245.47,0.69,0.98,0.39,39.84,10.13,0.4,17.11,0.5,91.35,0.3022,0
130.42,1.77,0.09,1.29,32.99,1.06,1.48,56.53,1.43,96.52,0.7245,1
266.34,0.23,1.96,0.91,32.74,1.58,0.27,54.55,1.95,93.77,0.3972,0
323.87,0.48,0.05,0.51,17.35,0.45,1.69,37.99,12.94,93.58,0.4207,0
433.82,0.28,2.93,0.05,59.52,12.51,3.69,30.87,3.35,89.93,0.128,0
50.02,1.74,1.01,1.8,36.41,40.49,0.42,35.26,2.31,93.29,0.7166,1
337.18,1.04,3.07,0.82,42.64,12.8,1.2,33.93,4.2,96.84,0.344,0
74.57,2.04,0.0,0.67,44.76,51.85,0.08,65.87,5.57,93.21,0.6896,1
98.77,1.71,1.96,0.18,53.53,10.85,0.8,34.11,8.3,84.86,0.622,1
286.13,2.92,2.02,1.59,24.99,33.51,0.36,22.33,6.54,99.99,0.4574,0
142.42,1.81,1.99,1.76,40.47,20.58,1.07,44.54,2.63,94.31,0.6868,1
165.64,3.14,0.02,2.19,32.77,9.29,0.24,27.64,3.76,91.69,0.6863,1
149.41,4.53,1.96,2.22,33.29,22.22,0.98,45.86,4.43,98.0,0.8453,1
269.53,0.1,0.96,4.0,46.35,36.68,0.77,49.17,7.77,97.39,0.5582,1
112.06,3.21,0.0,1.36,35.56,0.6,0.69,22.98,4.69,92.92,0.6323,1
406.03,0.3,0.0,2.14,34.22,14.07,0.65,50.59,2.99,88.88,0.2733,0
74.73,2.95,0.05,0.25,46.95,16.67,2.77,63.15,0.93,99.99,0.7382,1
373.81,1.33,2.0,0.72,34.74,34.24,0.16,59.02,8.34,99.99,0.2319,0
132.25,0.89,1.97,0.56,21.83,8.28,1.6,58.64,1.77,85.02,0.7716,1
278.73,0.1,0.0,2.7,28.6,27.61,1.77,44.58,4.73,89.72,0.5498,1
331.1,0.46,3.09,0.25,23.92,31.46,0.34,52.09,5.82,95.46,0.3006,0
453.61,0.27,2.06,0.71,44.78,36.24,0.49,38.81,2.51,94.23,0.0687,0
185.78,1.64,2.04,0.36,41.68,28.78,2.52,34.14,5.04,91.01,0.6272,1
165.44,0.7,1.98,0.83,8.25,12.55,0.63,52.11,1.76,92.21,0.7358,1
334.27,3.88,2.05,0.46,45.7,8.89,0.71,56.47,2.22,91.89,0.4232,1
498.45,0.88,2.09,0.59,32.01,16.37,0.69,55.83,3.4,96.63,0.1213,0
450.81,1.83,1.04,0.43,39.58,24.66,0.25,33.33,6.53,89.08,0.1837,1
82.14,0.97,0.05,0.32,42.54,1.61,0.28,38.9,4.3,96.92,0.5484,1
268.15,0.87,4.88,0.89,30.82,30.02,0.77,45.99,8.79,90.92,0.4528,0
220.25,1.69,2.03,1.05,48.1,16.59,1.53,26.51,0.5,98.31,0.4999,1
448.67,0.71,0.0,1.87,49.24,10.9,0.83,29.84,3.74,94.17,0.1199,0
152.95,2.14,0.07,1.98,23.05,23.78,1.18,43.61,2.79,93.33,0.728,1
499.56,2.45,0.0,0.42,42.59,56.58,0.4,19.72,1.24,90.51,0.1226,0
217.9,1.36,0.96,1.39,40.38,20.16,0.46,34.42,0.8,88.13,0.4491,0
274.08,5.22,0.05,0.22,40.42,5.19,1.7,47.75,8.17,99.99,0.5519,1
273.93,1.02,1.0,1.25,33.65,5.67,0.77,57.23,1.35,89.63,0.4931,1
53.94,0.67,1.06,2.8,46.89,75.7,0.59,54.56,5.06,91.18,0.7831,0
218.9,0.12,1.02,2.62,37.75,2.32,0.24,29.21,5.39,94.54,0.4806,1
377.51,0.92,1.1,0.47,31.41,19.09,0.59,71.4,2.2,92.53,0.3398,0
383.73,0.74,3.01,0.23,52.95,15.07,2.77,71.38,1.12,93.33,0.3565,0
151.97,1.92,0.06,0.65,39.57,7.85,1.32,28.51,4.23,94.03,0.5697,1
286.64,0.9,0.01,0.81,24.79,19.03,1.68,47.47,5.15,95.57,0.4118,0
370.3,2.98,0.0,0.37,54.98,20.97,0.19,30.4,6.03,95.65,0.1827,0
265.14,0.26,1.04,0.35,24.59,0.76,2.1,28.68,1.4,92.09,0.4574,0
78.48,2.8,2.1,0.48,19.94,6.92,2.35,49.56,1.34,92.38,0.844,1
364.81,0.61,1.05,0.03,29.41,2.55,1.26,28.87,3.96,93.49,0.2773,1
176.96,2.87,1.05,0.41,50.26,17.06,0.76,50.07,4.48,93.94,0.5524,0
239.71,0.1,1.98,0.21,47.28,26.44,0.28,40.36,6.66,93.23,0.3844,0
325.85,0.84,1.06,0.64,34.33,5.22,0.89,44.53,2.39,94.17,0.3129,0
279.78,0.6,0.97,0.19,33.42,3.88,0.97,51.72,2.48,94.0,0.4136,0
356.38,5.17,0.98,0.03,45.13,5.22,0.5,30.69,4.55,91.67,0.4219,0
491.65,2.25,1.99,2.03,53.05,3.82,0.78,55.76,5.53,93.92,0.2078,0
193.49,0.77,0.07,0.09,43.09,11.72,0.55,53.92,4.67,94.55,0.5172,1
101.04,1.4,0.96,0.29,31.67,35.18,0.03,76.66,1.27,93.19,0.7311,1
165.46,5.42,0.93,0.66,25.54,9.85,0.01,81.64,2.48,89.17,0.8082,1
315.5,2.55,0.0,1.03,42.65,7.42,1.63,53.22,2.86,89.32,0.421,0
276.91,7.23,2.03,1.66,46.68,2.68,0.96,15.0,2.81,91.05,0.5798,1
478.94,3.09,1.03,0.55,24.62,31.35,1.23,31.83,9.91,98.48,0.3007,0
279.37,1.0,0.0,0.01,35.64,1.92,0.59,39.18,3.7,89.09,0.3743,0
126.06,0.37,0.94,0.47,35.86,0.3,0.45,54.34,2.93,86.11,0.6329,1
170.83,0.91,3.02,0.26,44.02,8.89,1.17,27.92,3.26,96.11,0.4761,1
477.74,0.29,4.96,0.84,33.41,10.83,2.82,46.64,7.33,92.89,0.2048,0
249.15,1.55,0.12,0.9,30.92,24.61,0.23,58.84,1.85,92.48,0.5026,1
366.4,1.66,0.94,0.14,49.67,11.07,1.88,48.25,1.68,97.42,0.2129,0
324.6,3.19,0.91,0.14,32.55,10.5,1.26,15.0,5.95,96.43,0.3471,0
176.35,0.6,0.0,0.68,15.64,15.81,0.14,42.0,1.06,99.99,0.5097,1
376.12,0.6,1.01,0.75,32.52,24.78,0.26,29.3,1.6,90.87,0.2036,0
184.98,3.68,0.0,1.36,25.5,3.79,0.14,50.25,1.99,92.46,0.7656,1
415.21,1.69,0.94,5.82,42.95,40.39,1.38,35.45,3.12,91.13,0.4438,1
239.53,1.43,0.0,0.71,41.74,12.67,0.29,52.47,3.01,89.6,0.5246,1
85.57,4.39,0.0,0.21,34.24,11.06,1.97,50.25,2.24,96.79,0.9013,1
235.7,0.1,0.0,0.97,27.83,9.6,0.8,15.0,0.67,92.16,0.3986,0
132.88,4.89,0.04,0.76,41.64,1.73,0.63,61.28,0.77,96.13,0.7856,1
440.11,3.37,1.97,1.1,8.0,7.64,0.26,34.94,0.71,90.39,0.3004,0
255.51,2.06,0.0,2.04,31.34,28.02,2.76,44.31,2.34,90.05,0.6401,1
117.39,1.08,1.99,0.28,30.13,33.22,0.71,38.76,2.6,98.43,0.6202,1
211.88,2.11,5.01,0.06,39.71,9.8,0.28,40.09,8.62,90.79,0.4406,0
226.49,2.05,0.06,1.8,42.44,11.27,0.38,41.12,0.67,91.64,0.5559,1
336.84,0.14,1.02,2.58,37.29,34.14,1.82,53.02,4.68,92.37,0.5041,1
490.0,3.04,0.0,2.03,30.43,17.88,0.42,53.32,1.15,93.79,0.2849,0
221.86,2.27,0.0,0.77,30.08,23.82,1.51,28.43,2.59,99.51,0.5345,0
350.88,2.42,2.01,0.44,44.79,23.82,0.98,60.05,5.86,91.51,0.4097,0
421.93,0.13,0.01,0.67,47.86,2.45,0.8,30.88,2.52,99.99,0.027,0
473.88,2.63,0.04,2.69,34.19,16.27,0.84,57.86,3.58,93.23,0.3882,0
100.51,0.98,0.0,4.02,38.04,5.07,0.89,55.23,1.31,96.64,0.8212,1
274.13,3.6,0.0,2.52,40.06,24.85,1.02,49.62,4.83,91.88,0.6169,1
131.22,1.32,2.93,0.65,29.17,19.61,1.22,70.89,5.17,94.83,0.6611,0
78.99,2.59,4.02,0.84,14.76,19.24,0.67,76.6,1.83,87.09,0.9439,1
383.98,0.69,0.0,0.95,27.96,14.29,0.08,36.37,10.48,98.17,0.182,0
392.9,2.6,1.02,3.74,29.51,5.46,0.08,26.89,1.63,96.26,0.4044,0
357.89,0.37,1.02,1.66,22.67,19.77,1.22,37.15,2.01,93.53,0.3693,0
288.61,1.8,2.0,0.25,39.76,28.14,0.13,62.77,1.62,88.28,0.3689,0
492.17,0.22,1.04,0.12,25.55,19.57,0.43,37.72,2.89,95.83,0.0388,0
190.02,4.7,2.02,0.78,44.55,36.68,0.07,44.12,2.42,96.33,0.5843,1
229.6,1.62,1.01,1.34,31.2,39.13,1.43,69.16,3.81,90.0,0.6413,1
397.7,0.69,1.0,1.43,36.04,13.66,1.3,15.0,7.94,90.87,0.2571,1
185.12,0.96,2.06,0.23,42.01,14.33,0.51,56.44,0.5,97.45,0.4027,1
451.07,2.75,0.07,0.16,37.47,51.36,1.36,57.2,6.3,90.54,0.2522,0
105.93,0.79,2.06,0.42,46.12,14.0,0.83,58.62,1.44,96.14,0.661,1
287.27,2.43,0.03,0.31,38.22,25.53,0.92,43.6,1.81,88.53,0.497,1
385.68,2.64,0.01,1.98,41.87,9.84,0.18,56.16,2.07,99.99,0.381,0
272.37,2.15,1.0,0.73,18.78,71.12,1.91,42.4,0.58,87.48,0.5997,1
182.99,4.46,0.94,1.23,29.7,20.24,0.14,53.52,0.79,94.58,0.7101,1
233.39,2.97,0.97,2.17,29.11,35.49,1.38,56.07,0.63,92.44,0.687,1
232.51,0.24,0.92,1.49,43.59,68.99,0.3,58.44,9.38,99.99,0.4251,0
63.61,1.1,0.99,0.02,44.16,11.48,0.78,52.1,3.08,87.8,0.7286,1
76.43,1.63,0.96,0.12,36.23,95.73,1.61,31.62,3.78,92.54,0.6659,0
303.11,0.34,0.0,0.12,25.28,128.84,1.53,53.07,3.6,95.17,0.4816,1
368.97,1.33,1.03,0.32,40.29,0.29,0.24,29.47,2.21,98.83,0.1216,0
247.33,1.55,0.0,0.57,34.07,19.98,0.77,70.45,1.34,96.08,0.5665,1
284.68,0.37,0.0,1.26,33.62,55.39,0.06,65.56,8.73,96.93,0.4014,0
479.97,1.19,2.97,3.23,33.69,15.8,0.05,22.63,1.12,91.25,0.1219,0
184.87,1.83,1.95,1.55,34.45,13.78,0.38,27.5,1.11,93.98,0.5154,1
255.8,6.13,1.0,0.92,47.43,29.36,0.72,43.55,2.08,99.6,0.5307,1
251.43,3.53,1.01,0.65,40.91,28.29,0.1,34.44,4.94,98.8,0.3904,1
346.3,1.69,0.04,0.31,41.0,1.82,0.49,65.17,2.51,88.51,0.405,0
371.32,0.38,2.99,2.22,26.18,32.73,0.34,70.82,10.63,96.65,0.371,0
249.44,0.9,0.99,1.06,16.65,42.97,0.41,74.21,3.55,93.65,0.5231,1
374.18,1.98,1.04,0.21,36.64,26.07,0.32,41.51,8.71,89.39,0.2534,1
427.02,3.02,0.98,0.73,30.73,22.19,0.62,42.32,3.77,89.3,0.3204,0
301.78,2.85,1.07,2.27,40.63,120.87,1.46,28.48,4.2,99.25,0.4419,0
158.13,0.79,0.06,0.78,33.31,30.79,0.75,46.72,0.75,92.65,0.6952,0
332.9,2.03,0.04,0.05,28.4,14.54,0.35,69.34,3.47,92.24,0.4165,0
255.97,1.31,3.06,0.89,32.51,12.99,0.7,46.33,2.79,95.02,0.4846,1
461.08,2.75,4.09,1.17,46.79,12.24,2.63,65.29,3.07,97.0,0.3045,0
303.55,1.38,1.02,0.64,48.32,15.47,0.8,48.57,5.82,93.22,0.2998,0
416.22,1.98,0.0,0.02,34.89,26.12,3.54,32.91,0.56,96.12,0.3142,0
280.5,2.63,0.0,1.0,11.78,10.42,0.49,48.36,3.18,99.99,0.5686,1
129.79,0.67,0.0,3.43,27.33,21.88,0.79,43.69,2.24,89.35,0.7044,0
304.26,2.73,0.03,0.9,38.73,0.76,0.34,60.53,4.01,97.2,0.4745,0
279.01,3.3,2.94,0.71,14.59,0.24,0.05,37.62,3.03,89.43,0.5644,1
213.55,0.53,0.94,0.13,30.38,8.59,0.25,46.54,2.81,97.9,0.493,1
57.18,2.76,0.99,3.35,32.4,14.41,0.94,40.07,1.83,93.9,0.8794,1
382.48,0.35,1.01,0.2,33.79,16.7,1.04,58.94,7.64,93.82,0.2178,0
491.83,1.46,1.0,0.19,41.36,10.48,1.03,67.67,6.15,97.26,0.1166,0
454.13,0.15,0.98,1.17,12.5,48.63,0.31,57.85,0.83,93.85,0.1937,0
335.54,4.29,0.0,0.23,45.01,25.34,0.84,57.34,4.03,93.22,0.4444,0
249.49,1.82,2.02,0.49,18.64,8.85,0.19,31.73,1.94,93.7,0.41,0
300.77,0.97,1.11,1.68,41.66,6.22,0.48,56.29,0.5,91.39,0.4243,0
439.35,1.87,0.96,1.12,24.81,0.29,1.38,59.82,1.1,98.41,0.3223,0
200.29,4.41,1.02,1.53,23.73,1.23,0.39,23.44,1.05,93.77,0.6314,1
402.36,4.08,1.96,0.36,23.46,36.5,0.83,54.57,1.64,92.3,0.4551,0
268.42,0.22,1.05,3.19,14.32,57.18,0.43,58.43,3.43,89.9,0.5689,1
247.0,1.95,1.0,0.59,39.32,2.15,0.65,36.87,1.13,94.09,0.3969,0
186.61,0.93,0.02,0.02,55.05,15.71,0.25,68.28,0.5,93.2,0.3935,0
290.18,0.13,0.0,0.62,31.01,27.69,0.67,41.68,5.24,96.16,0.3217,0
471.39,3.75,1.01,1.61,41.89,27.6,0.74,38.51,4.0,96.61,0.2877,1
243.04,3.77,3.0,1.63,31.08,45.91,0.83,61.93,2.67,94.2,0.7215,1
95.13,1.13,0.0,0.44,50.15,38.75,0.29,24.74,1.38,94.55,0.5238,1
100.36,0.13,2.94,4.32,51.95,17.3,1.66,34.45,3.97,96.24,0.7603,0
293.97,0.69,0.0,1.09,27.23,87.65,0.91,35.01,7.52,95.54,0.3321,0
120.53,0.14,0.02,0.05,41.09,17.25,0.25,30.29,3.37,95.09,0.4118,0
219.01,0.56,1.93,0.43,32.89,22.4,0.76,49.6,2.99,94.88,0.476,1
464.26,1.61,0.91,0.53,29.82,40.68,1.42,15.54,4.2,93.41,0.1596,0
252.08,1.48,1.07,3.33,24.15,7.89,0.74,59.7,1.87,97.92,0.6695,1
326.9,3.63,3.05,0.3,47.16,39.36,1.16,89.19,7.3,86.99,0.5189,1
52.73,0.1,1.04,1.4,33.03,5.14,1.02,45.94,3.71,90.83,0.7168,1
418.53,0.28,1.05,0.22,26.02,22.4,0.38,40.36,2.56,90.46,0.2206,0
176.38,0.35,0.85,0.18,24.2,10.48,0.38,22.48,0.5,95.28,0.4561,1
470.8,0.34,1.91,1.09,57.3,2.5,0.68,51.71,0.69,99.99,0.0323,0
120.96,0.1,1.98,0.38,43.79,42.23,0.08,53.85,5.04,92.47,0.5267,1
418.74,3.42,1.97,0.67,21.53,36.47,3.51,46.6,2.58,97.35,0.5191,0
383.4,0.11,0.95,0.91,42.88,69.61,1.6,43.0,3.16,96.36,0.2306,0
397.65,2.55,3.0,0.22,39.85,46.89,1.86,51.09,9.96,99.99,0.31,0
217.49,3.77,2.02,0.39,44.78,5.44,0.62,51.48,1.5,90.94,0.5357,1
180.27,1.63,1.0,0.36,17.56,2.23,0.33,56.5,2.38,96.73,0.6939,1
308.43,1.25,2.09,0.16,37.12,1.94,0.39,69.33,1.55,92.47,0.3266,0
111.74,0.88,2.99,0.24,36.26,0.64,0.08,36.13,11.15,95.46,0.4752,1
430.16,1.01,1.12,0.07,26.66,51.75,0.83,40.57,1.32,92.97,0.1689,0
324.6,0.35,0.95,0.4,58.37,86.64,0.21,48.78,3.94,99.35,0.1749,0
353.33,0.83,1.06,0.08,36.32,9.53,1.94,28.92,1.68,96.57,0.2645,0
412.71,2.39,1.96,0.03,30.65,12.85,0.54,42.21,2.06,96.94,0.2308,0
447.38,0.29,0.96,1.52,29.01,27.16,2.74,43.37,12.0,89.97,0.2736,1
395.01,2.47,1.94,0.4,46.6,48.94,0.14,27.55,2.39,94.56,0.1461,0
206.55,1.17,3.05,0.35,37.83,9.31,0.99,64.24,4.99,91.93,0.4771,1
343.06,0.86,2.0,0.13,32.61,6.85,3.09,54.23,1.96,93.71,0.4099,0
158.72,2.81,1.0,0.69,27.52,41.56,1.15,24.23,1.17,92.62,0.6356,1
228.47,0.51,1.99,0.2,37.83,2.03,2.28,50.87,2.67,93.46,0.5253,1
277.78,2.86,4.02,1.48,30.71,24.08,0.14,35.3,1.22,92.72,0.4839,1
295.2,1.06,0.94,1.0,41.22,29.06,0.46,63.13,3.82,93.42,0.4225,0
189.11,0.39,3.05,0.41,42.83,24.08,3.25,45.06,3.02,93.77,0.5957,1
249.31,2.89,0.05,2.55,48.49,9.05,2.54,34.87,3.41,89.36,0.6325,1
220.8,1.04,0.03,0.37,26.26,51.86,0.33,25.96,1.8,98.77,0.3657,0
135.74,0.21,3.02,0.68,23.92,20.66,0.99,53.76,5.04,98.76,0.5739,1
68.81,2.48,0.97,2.53,30.2,0.81,1.58,40.55,2.29,99.4,0.7582,1
134.77,0.81,2.05,1.48,32.31,33.76,0.29,32.98,0.86,90.69,0.5951,1
331.2,3.06,2.94,1.07,21.06,14.32,0.42,41.21,4.52,95.75,0.4256,0
327.51,0.2,0.01,1.42,39.43,17.7,0.08,54.14,2.77,99.99,0.2805,0
257.78,0.89,0.0,0.59,51.66,6.2,0.29,55.12,5.23,98.44,0.3044,0
423.41,0.33,2.94,3.05,46.06,10.42,1.63,19.59,3.69,95.28,0.1695,0
73.48,0.73,1.97,0.97,28.48,12.03,0.29,23.29,2.13,99.99,0.5187,1
115.07,0.75,0.0,1.92,31.94,36.63,0.87,37.35,2.45,94.37,0.6806,1
167.69,1.42,0.96,0.55,22.44,37.19,0.63,73.21,2.01,96.2,0.6371,1
488.0,2.55,1.02,0.87,45.4,22.23,0.34,51.3,3.72,95.89,0.1127,0
91.27,0.11,2.11,1.4,26.94,2.4,1.23,40.1,3.52,95.67,0.7239,1
422.21,3.73,0.99,0.1,42.9,7.52,0.42,44.94,2.26,98.61,0.2905,1
454.26,1.03,3.03,1.65,52.93,48.98,0.12,18.8,11.95,96.73,0.0779,0
472.57,3.11,0.05,0.01,22.34,22.44,0.8,67.24,1.72,92.85,0.3306,0
343.79,0.6,0.0,0.12,31.88,43.07,1.01,56.92,4.39,94.7,0.3175,0
236.58,5.12,0.99,1.0,31.01,18.15,0.26,68.06,5.31,93.44,0.6946,1
486.03,1.76,2.07,0.19,36.54,48.26,0.92,50.38,1.33,99.12,0.1476,0
394.28,1.2,2.0,0.33,32.17,5.65,0.2,76.21,4.49,99.99,0.2673,0
273.31,1.16,0.99,0.05,28.08,39.72,0.87,37.3,2.62,84.84,0.4771,1
476.98,1.85,1.02,2.04,29.73,11.46,1.75,42.38,6.16,93.79,0.2586,0
442.48,1.39,1.94,0.18,35.16,1.78,0.52,55.09,4.77,95.98,0.2376,0
214.44,1.95,0.0,0.34,38.2,22.64,1.4,61.62,1.67,96.33,0.4815,1
162.89,1.84,0.9,0.09,39.03,1.71,0.66,34.29,8.06,93.35,0.5078,1
147.87,2.31,2.0,0.09,30.22,8.25,0.36,59.25,4.61,93.69,0.6143,1
393.34,1.25,0.0,1.51,25.23,24.36,0.66,37.41,3.79,87.64,0.283,0
244.74,1.38,0.91,2.61,34.35,14.33,1.11,28.84,3.27,90.07,0.5299,1
469.38,2.5,1.03,0.38,18.76,11.8,0.73,22.4,4.28,97.66,0.1417,1
285.47,4.44,1.94,1.06,38.74,5.23,0.48,41.16,4.12,99.99,0.4894,1
127.78,1.89,0.0,0.23,36.19,60.3,0.34,25.05,0.86,92.83,0.5898,1
472.56,3.12,0.03,0.38,49.14,8.1,0.26,57.87,2.53,94.83,0.1422,0
242.62,0.71,0.06,0.28,40.91,17.34,0.07,36.49,3.72,90.75,0.3722,0
373.87,0.97,0.01,0.86,33.38,7.16,0.22,41.16,4.05,90.83,0.2615,0
189.65,0.98,0.0,0.29,23.6,12.15,3.31,80.74,3.8,96.09,0.774,1
226.34,0.3,0.96,0.83,12.75,14.05,0.72,25.93,0.9,99.99,0.4772,0
331.2,3.18,1.94,0.62,44.89,11.13,0.31,34.05,6.9,98.72,0.3853,0
193.11,0.87,1.04,2.9,8.0,18.74,1.24,62.29,6.5,93.96,0.7754,1
381.12,0.2,1.02,0.02,28.3,63.02,0.32,38.22,1.03,96.18,0.1206,0
306.77,0.79,2.01,0.23,47.52,30.2,0.53,84.36,7.23,91.14,0.3232,0
168.77,0.87,1.03,0.32,34.73,22.67,0.09,55.34,2.72,94.88,0.5787,1
233.27,3.43,1.03,0.07,44.51,66.74,0.39,34.87,6.89,84.14,0.4615,1
369.02,3.83,2.0,0.12,35.53,1.76,0.02,46.21,4.55,99.52,0.3713,0
163.05,1.89,1.04,1.42,38.6,28.42,1.76,37.67,6.02,92.05,0.6518,1
145.93,1.26,0.05,1.96,29.55,35.24,0.32,49.61,7.14,87.86,0.712,1
163.05,0.44,1.95,0.63,49.13,22.54,0.15,37.97,8.49,99.15,0.4175,0
84.56,0.69,0.01,0.32,31.01,5.8,2.59,45.39,3.51,94.98,0.726,1
436.36,0.57,0.0,1.0,19.04,5.48,0.55,62.99,2.28,96.92,0.2735,0
324.66,7.12,0.94,0.76,41.36,25.97,1.21,20.0,7.73,92.26,0.5836,1
120.96,0.68,1.97,0.17,23.29,48.77,1.3,15.5,4.35,99.99,0.5636,1
270.23,0.32,0.0,0.22,12.82,7.44,1.42,53.01,1.26,87.57,0.5812,1
467.44,0.2,2.97,1.26,29.52,8.02,0.4,62.9,1.85,99.99,0.1407,0
494.79,3.7,1.98,0.78,38.07,19.0,0.1,56.35,1.56,90.01,0.2446,0
357.66,4.58,0.0,0.12,19.21,46.06,3.85,52.19,4.21,88.05,0.6687,1
51.55,2.13,0.0,1.37,27.58,57.0,1.72,51.77,1.82,93.27,0.831,1
375.75,0.62,1.06,0.97,36.06,5.34,0.61,49.41,7.04,93.42,0.2857,0
207.49,1.01,2.09,0.35,33.63,67.47,0.99,45.75,3.85,94.22,0.4829,1
194.44,1.27,2.97,1.18,25.84,17.51,1.49,47.64,4.95,93.42,0.6062,1
310.56,1.15,0.97,0.61,41.23,44.81,1.03,50.66,2.13,94.42,0.348,0
419.86,2.41,1.06,0.36,42.88,0.92,2.07,41.76,14.3,92.03,0.2596,0
140.27,1.4,0.97,1.11,37.7,5.94,0.26,30.59,0.65,99.65,0.5519,1
230.64,0.35,2.1,2.4,48.17,4.17,1.69,53.41,0.5,88.65,0.548,1
388.12,2.32,0.97,0.19,21.52,36.1,0.83,34.01,2.46,90.89,0.2923,0
286.68,1.52,0.97,0.18,32.06,137.19,0.32,35.34,3.34,91.06,0.3794,0
196.35,2.63,2.83,0.96,32.87,8.03,0.29,44.7,1.97,93.79,0.5563,0
103.86,0.53,0.02,0.18,41.66,10.3,1.19,61.56,5.1,99.99,0.6121,1
125.77,3.01,2.0,1.73,29.66,24.83,0.23,30.38,4.0,99.99,0.7082,1
275.56,4.95,0.97,1.2,17.71,115.11,0.99,31.65,5.88,92.84,0.6136,1
491.49,1.51,0.93,0.8,23.18,80.87,0.44,36.23,5.93,83.7,0.1628,0
